incident_id,subject_id,agency_id,agency_name,agency_type,incident_date,year_month,incident_type,contact_reason,incident_location,subject_race,subject_sex,subject_age_group,subject_perceived_armed,subject_weapon,subject_perceived_impaired,subject_resistance,type_of_force,subject_injury,officer_injury,officer_race,officer_sex
UOF000013,S85221,A001,Riverbend Police Department,Municipal Police,2019-01-30,2019-01,Property Offense,Public Request for Service,City,Unknown,Female,25 to 34,Yes,Firearm,No,Active Resistance,ECW,Yes,No,White,Male
UOF000014,S50445,A001,Riverbend Police Department,Municipal Police,2019-01-31,2019-01,Offense Against Person,Public Request for Service,City,White,Female,Under 18,Yes,None Found,Yes,Passive Resistance,Physical Control,No,No,White,Male
UOF000015,S04188,A001,Riverbend Police Department,Municipal Police,2019-01-03,2019-01,Offense Against Person,Agency Request for Service,City,White,Male,45 to 54,Yes,Edged Object,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000016,S21915,A001,Riverbend Police Department,Municipal Police,2019-01-31,2019-01,Warrant,Public Request for Service,Unincorporated Area,Unknown,Male,18 to 24,No,Not Applicable,Yes,Passive Resistance,Physical Control,No,No,White,Male
UOF000017,S44861,A001,Riverbend Police Department,Municipal Police,2019-01-24,2019-01,Vehicle Stop,Public Request for Service,City,Unknown,Male,25 to 34,Yes,Vehicle,Yes,Active Resistance,ECW,No,No,White,Male
UOF000018,S48898,A001,Riverbend Police Department,Municipal Police,2019-01-30,2019-01,Offense Against Person,Planned Activities,Unincorporated Area,Asian,Male,25 to 34,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000019,S09043,A001,Riverbend Police Department,Municipal Police,2019-01-20,2019-01,Warrant,Public Request for Service,City,White,Female,55 and over,Yes,None Found,Yes,Passive Resistance,Physical Control,No,No,White,Male
UOF000020,S19510,A001,Riverbend Police Department,Municipal Police,2019-01-22,2019-01,Offense Against Person,Individual Officer/Unit Initiated,City,White,Male,55 and over,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Black or African American,Male
UOF000021,S61329,A001,Riverbend Police Department,Municipal Police,2019-01-12,2019-01,Offense Against Person,Public Request for Service,City,White,Male,25 to 34,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Hispanic or Latino,Male
UOF000022,S50624,A001,Riverbend Police Department,Municipal Police,2019-01-02,2019-01,Property Offense,Public Request for Service,City,Unknown,Male,45 to 54,Yes,Firearm,No,Assaultive,Physical Control,Yes,No,White,Male
UOF000023,S82398,A001,Riverbend Police Department,Municipal Police,2019-01-04,2019-01,Offense Against Person,Public Request for Service,City,White,Male,55 and over,Yes,Firearm,Yes,Active Resistance,ECW,No,No,Hispanic or Latino,Female
UOF000024,S68649,A001,Riverbend Police Department,Municipal Police,2019-01-03,2019-01,Warrant,Agency Request for Service,Unincorporated Area,Hispanic or Latino,Male,25 to 34,No,Not Applicable,Yes,Assaultive,Impact Weapon,Yes,No,Asian,Male
UOF000025,S23842,A001,Riverbend Police Department,Municipal Police,2019-01-08,2019-01,Offense Against Person,Public Request for Service,City,Hispanic or Latino,Male,35 to 44,No,Not Applicable,No,Active Resistance,Physical Control,Yes,No,Asian,Male
UOF000026,S12197,A001,Riverbend Police Department,Municipal Police,2019-01-31,2019-01,Vehicle Stop,Public Request for Service,City,White,Male,25 to 34,No,Not Applicable,Yes,Assaultive,ECW,Yes,Yes,White,Male
UOF000027,S64532,A001,Riverbend Police Department,Municipal Police,2019-01-06,2019-01,Property Offense,Public Request for Service,City,Hispanic or Latino,Male,25 to 34,No,Not Applicable,Yes,Active Resistance,Chemical Agent,No,No,White,Male
UOF000028,S44896,A001,Riverbend Police Department,Municipal Police,2019-01-21,2019-01,Offense Against Person,Planned Activities,State Highway,Hawaiian or Pacific Islander,Male,35 to 44,Yes,Edged Object,No,Active Resistance,Chemical Agent,No,No,Asian,Male
UOF000029,S60806,A001,Riverbend Police Department,Municipal Police,2019-01-08,2019-01,Offense Against Person,Agency Request for Service,Unincorporated Area,White,Male,25 to 34,No,Not Applicable,Yes,Assaultive,ECW,No,Yes,White,Male
UOF000030,S15805,A001,Riverbend Police Department,Municipal Police,2019-01-11,2019-01,Offense Against Person,Public Request for Service,City,Unknown,Male,25 to 34,Yes,Firearm,No,Active Resistance,Physical Control,No,No,White,Male
UOF000031,S83721,A001,Riverbend Police Department,Municipal Police,2019-01-12,2019-01,Property Offense,Public Request for Service,Unincorporated Area,Multiple Races/Ethnicities,Male,55 and over,No,Not Applicable,Yes,Active Resistance,Chemical Agent,No,No,Black or African American,Male
UOF000032,S24472,A001,Riverbend Police Department,Municipal Police,2019-01-12,2019-01,Offense Against Person,Individual Officer/Unit Initiated,City,White,Male,25 to 34,No,Not Applicable,Yes,None,Physical Control,Yes,No,Hispanic or Latino,Female
UOF000033,S20363,A001,Riverbend Police Department,Municipal Police,2019-01-31,2019-01,Public Order Offense,Agency Request for Service,Unincorporated Area,Multiple Races/Ethnicities,Male,25 to 34,Yes,Edged Object,Yes,Active Resistance,Physical Control,No,No,White,Male
UOF000034,S77040,A001,Riverbend Police Department,Municipal Police,2019-01-13,2019-01,Offense Against Person,Individual Officer/Unit Initiated,Unincorporated Area,White,Male,35 to 44,Yes,Blunt Object,Yes,Active Resistance,Physical Control,Yes,No,Unknown,Male
UOF000035,S19574,A001,Riverbend Police Department,Municipal Police,2019-01-22,2019-01,Property Offense,Public Request for Service,City,White,Male,35 to 44,No,Not Applicable,No,Passive Resistance,Physical Control,No,No,Asian,Female
UOF000036,S33095,A001,Riverbend Police Department,Municipal Police,2019-01-04,2019-01,Public Order Offense,Individual Officer/Unit Initiated,City,Black or African American,Male,45 to 54,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Black or African American,Male
UOF000037,S21935,A001,Riverbend Police Department,Municipal Police,2019-01-28,2019-01,Property Offense,Public Request for Service,City,Unknown,Male,25 to 34,Yes,Firearm,No,Active Resistance,Less Lethal Projectile,No,No,Black or African American,Female
UOF000038,S40132,A001,Riverbend Police Department,Municipal Police,2019-01-28,2019-01,Offense Against Person,Public Request for Service,Unincorporated Area,Black or African American,Male,18 to 24,Yes,Edged Object,No,Assaultive,Physical Control,No,No,White,Male
UOF000039,S30892,A001,Riverbend Police Department,Municipal Police,2019-01-29,2019-01,Offense Against Person,Public Request for Service,Unincorporated Area,White,Male,35 to 44,Yes,Firearm,Yes,None,Less Lethal Projectile,No,Yes,Hispanic or Latino,Male
UOF000040,S26777,A001,Riverbend Police Department,Municipal Police,2019-01-28,2019-01,Vehicle Stop,Agency Request for Service,City,Black or African American,Male,18 to 24,Yes,Chemical Explosive,Yes,Active Resistance,Physical Control,No,No,Hispanic or Latino,Male
UOF000041,S16674,A001,Riverbend Police Department,Municipal Police,2019-01-04,2019-01,Offense Against Person,Individual Officer/Unit Initiated,City,Unknown,Male,35 to 44,Yes,Firearm,No,Assaultive,Impact Weapon,Yes,No,White,Male
UOF000042,S76707,A001,Riverbend Police Department,Municipal Police,2019-02-17,2019-02,Offense Against Person,Public Request for Service,City,White,Male,25 to 34,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,White,Male
UOF000043,S61907,A001,Riverbend Police Department,Municipal Police,2019-02-12,2019-02,Warrant,Public Request for Service,City,Unknown,Unknown,25 to 34,No,Not Applicable,Yes,Active Resistance,K9,Yes,Yes,Unknown,Male
UOF000044,S19095,A001,Riverbend Police Department,Municipal Police,2019-02-07,2019-02,Other,Agency Request for Service,Unincorporated Area,Multiple Races/Ethnicities,Female,25 to 34,No,Not Applicable,No,Passive Resistance,Physical Control,Yes,No,Unknown,Male
UOF000045,S61141,A001,Riverbend Police Department,Municipal Police,2019-02-27,2019-02,Vehicle Stop,Public Request for Service,Unincorporated Area,White,Male,55 and over,No,Not Applicable,Yes,Active Resistance,ECW,Yes,Yes,Asian,Male
UOF000046,S10707,A001,Riverbend Police Department,Municipal Police,2019-02-23,2019-02,Property Offense,Public Request for Service,Unincorporated Area,White,Male,35 to 44,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000047,S11713,A001,Riverbend Police Department,Municipal Police,2019-02-07,2019-02,Public Order Offense,Unknown,Unincorporated Area,Black or African American,Male,35 to 44,No,Not Applicable,Yes,Passive Resistance,Vehicle Intervention,No,No,Black or African American,Male
UOF000048,S41629,A001,Riverbend Police Department,Municipal Police,2019-02-05,2019-02,Civil Caretaking,Individual Officer/Unit Initiated,City,Unknown,Male,35 to 44,No,Not Applicable,No,Assaultive,Chemical Agent,Yes,No,White,Male
UOF000049,S57466,A001,Riverbend Police Department,Municipal Police,2019-02-16,2019-02,Warrant,Public Request for Service,Unincorporated Area,White,Male,45 to 54,Yes,Firearm,Yes,Passive Resistance,Physical Control,No,No,White,Female
UOF000050,S81398,A001,Riverbend Police Department,Municipal Police,2019-02-21,2019-02,Civil Caretaking,Individual Officer/Unit Initiated,City,White,Male,45 to 54,No,Not Applicable,Yes,Passive Resistance,Physical Control,No,No,White,Male
UOF000051,S22693,A001,Riverbend Police Department,Municipal Police,2019-02-19,2019-02,Offense Against Person,Public Request for Service,City,Multiple Races/Ethnicities,Male,45 to 54,Yes,Edged Object,No,Passive Resistance,Physical Control,No,No,Unknown,Female
UOF000052,S63430,A001,Riverbend Police Department,Municipal Police,2019-02-18,2019-02,Vehicle Stop,Public Request for Service,City,Multiple Races/Ethnicities,Male,25 to 34,No,Not Applicable,Yes,Passive Resistance,Physical Control,No,No,White,Male
UOF000053,S56567,A001,Riverbend Police Department,Municipal Police,2019-02-10,2019-02,Warrant,Public Request for Service,City,Hispanic or Latino,Male,25 to 34,Yes,None Found,No,None,Physical Control,Yes,No,White,Male
UOF000054,S28385,A001,Riverbend Police Department,Municipal Police,2019-02-11,2019-02,Property Offense,Individual Officer/Unit Initiated,City,Asian,Male,45 to 54,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Asian,Male
UOF000055,S37503,A001,Riverbend Police Department,Municipal Police,2019-02-18,2019-02,Warrant,Individual Officer/Unit Initiated,City,White,Male,35 to 44,No,Not Applicable,Yes,Active Resistance,ECW,No,No,Unknown,Male
UOF000056,S58851,A001,Riverbend Police Department,Municipal Police,2019-02-07,2019-02,Property Offense,Public Request for Service,City,White,Male,35 to 44,Yes,Firearm,Yes,Passive Resistance,Physical Control,Yes,No,White,Male
UOF000057,S16740,A001,Riverbend Police Department,Municipal Police,2019-02-05,2019-02,Warrant,Public Request for Service,City,Black or African American,Female,25 to 34,No,Not Applicable,Yes,Assaultive,Less Lethal Projectile,No,No,Unknown,Male
UOF000058,S67521,A001,Riverbend Police Department,Municipal Police,2019-02-08,2019-02,Vehicle Stop,Unknown,City,Unknown,Male,18 to 24,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Black or African American,Male
UOF000059,S52180,A001,Riverbend Police Department,Municipal Police,2019-02-26,2019-02,Warrant,Public Request for Service,Unincorporated Area,White,Female,25 to 34,No,Not Applicable,Yes,Assaultive,Firearm Discharge,No,No,White,Male
UOF000060,S18018,A001,Riverbend Police Department,Municipal Police,2019-02-10,2019-02,Property Offense,Agency Request for Service,City,Unknown,Male,35 to 44,No,Not Applicable,Yes,Active Resistance,Impact Weapon,Yes,No,Hispanic or Latino,Male
UOF000061,S79825,A001,Riverbend Police Department,Municipal Police,2019-02-18,2019-02,Property Offense,Individual Officer/Unit Initiated,City,Unknown,Female,18 to 24,No,Not Applicable,Yes,Passive Resistance,Physical Control,No,No,White,Male
UOF000062,S33887,A001,Riverbend Police Department,Municipal Police,2019-02-17,2019-02,Vehicle Stop,Public Request for Service,Unincorporated Area,Black or African American,Male,25 to 34,No,Not Applicable,Yes,Passive Resistance,Physical Control,Yes,No,White,Male
UOF000063,S83158,A001,Riverbend Police Department,Municipal Police,2019-02-02,2019-02,Public Order Offense,Agency Request for Service,Interstate Highway,White,Male,55 and over,Yes,Edged Object,Yes,Assaultive,Physical Control,No,No,White,Male
UOF000064,S55500,A001,Riverbend Police Department,Municipal Police,2019-02-12,2019-02,Vehicle Stop,Public Request for Service,State Highway,Hispanic or Latino,Male,18 to 24,No,Not Applicable,No,Active Resistance,Physical Control,No,No,Unknown,Female
UOF000065,S39225,A001,Riverbend Police Department,Municipal Police,2019-02-08,2019-02,Property Offense,Individual Officer/Unit Initiated,Unincorporated Area,White,Male,35 to 44,No,Not Applicable,Yes,Active Resistance,Physical Control,Yes,No,White,Male
UOF000066,S83851,A001,Riverbend Police Department,Municipal Police,2019-02-28,2019-02,Offense Against Person,Public Request for Service,City,Multiple Races/Ethnicities,Male,45 to 54,Yes,Edged Object,No,Assaultive,Physical Control,No,Yes,Asian,Male
UOF000067,S52496,A001,Riverbend Police Department,Municipal Police,2019-02-13,2019-02,Vehicle Stop,Individual Officer/Unit Initiated,City,Black or African American,Male,35 to 44,No,Not Applicable,Yes,Passive Resistance,Physical Control,Yes,No,Black or African American,Male
UOF000068,S46667,A001,Riverbend Police Department,Municipal Police,2019-02-15,2019-02,Warrant,Individual Officer/Unit Initiated,Unincorporated Area,Unknown,Male,45 to 54,Yes,Chemical Explosive,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000069,S50127,A001,Riverbend Police Department,Municipal Police,2019-02-12,2019-02,Property Offense,Public Request for Service,City,White,Male,18 to 24,No,Not Applicable,Yes,Active Resistance,ECW,Yes,No,White,Male
UOF000070,S26786,A001,Riverbend Police Department,Municipal Police,2019-02-17,2019-02,Offense Against Person,Public Request for Service,City,White,Male,35 to 44,Yes,Blunt Object,No,Active Resistance,Physical Control,No,Yes,Unknown,Male
UOF000071,S89489,A001,Riverbend Police Department,Municipal Police,2019-02-21,2019-02,Offense Against Person,Agency Request for Service,Unincorporated Area,Unknown,Female,45 to 54,Yes,Firearm,Yes,Passive Resistance,Physical Control,No,No,White,Male
UOF000072,S09217,A001,Riverbend Police Department,Municipal Police,2019-02-17,2019-02,Public Order Offense,Agency Request for Service,City,Unknown,Male,25 to 34,Yes,Blunt Object,Yes,Active Resistance,Physical Control,No,No,White,Male
UOF000073,S59504,A001,Riverbend Police Department,Municipal Police,2019-02-18,2019-02,Property Offense,Public Request for Service,City,White,Male,Under 18,Yes,Firearm,Yes,Passive Resistance,Physical Control,No,No,Black or African American,Male
UOF000074,S78721,A001,Riverbend Police Department,Municipal Police,2019-02-12,2019-02,Offense Against Person,Individual Officer/Unit Initiated,City,Hispanic or Latino,Male,35 to 44,No,Not Applicable,Yes,Active Resistance,Vehicle Intervention,Yes,No,Hispanic or Latino,Male
UOF000075,S59427,A001,Riverbend Police Department,Municipal Police,2019-02-14,2019-02,Offense Against Person,Public Request for Service,City,White,Male,18 to 24,No,Not Applicable,No,Active Resistance,Physical Control,No,No,White,Male
UOF000076,S22195,A001,Riverbend Police Department,Municipal Police,2019-02-02,2019-02,Property Offense,Individual Officer/Unit Initiated,Unincorporated Area,White,Male,25 to 34,No,Not Applicable,Yes,Passive Resistance,Physical Control,Yes,No,White,Male
UOF000077,S09389,A001,Riverbend Police Department,Municipal Police,2019-02-23,2019-02,Property Offense,Individual Officer/Unit Initiated,City,White,Male,35 to 44,Yes,Firearm,Yes,Active Resistance,Physical Control,No,Yes,Unknown,Male
UOF000078,S75066,A001,Riverbend Police Department,Municipal Police,2019-02-06,2019-02,Offense Against Person,Public Request for Service,City,American Indian or Alaska Native,Male,35 to 44,No,Not Applicable,Yes,Active Resistance,ECW,No,No,Hispanic or Latino,Male
UOF000079,S53938,A001,Riverbend Police Department,Municipal Police,2019-02-06,2019-02,Offense Against Person,Planned Activities,City,Unknown,Male,35 to 44,No,Not Applicable,No,Passive Resistance,Physical Control,Yes,No,White,Male
UOF000080,S13190,A001,Riverbend Police Department,Municipal Police,2019-02-03,2019-02,Vehicle Stop,Public Request for Service,Unincorporated Area,White,Male,25 to 34,Yes,Blunt Object,No,Active Resistance,ECW,Yes,No,White,Male
UOF000081,S01096,A001,Riverbend Police Department,Municipal Police,2019-02-03,2019-02,Offense Against Person,Agency Request for Service,City,White,Male,35 to 44,Yes,Edged Object,Yes,Threat of Deadly Force,Physical Control,No,No,Black or African American,Female
UOF000082,S36117,A001,Riverbend Police Department,Municipal Police,2019-02-17,2019-02,Vehicle Stop,Public Request for Service,Interstate Highway,White,Male,35 to 44,Yes,Firearm,Yes,Assaultive,Physical Control,No,No,Black or African American,Male
UOF000083,S09317,A001,Riverbend Police Department,Municipal Police,2019-02-15,2019-02,Offense Against Person,Public Request for Service,City,Black or African American,Male,35 to 44,No,Not Applicable,No,None,Physical Control,No,No,Black or African American,Male
UOF000084,S81776,A001,Riverbend Police Department,Municipal Police,2019-02-14,2019-02,Property Offense,Individual Officer/Unit Initiated,City,White,Male,Under 18,Yes,Edged Object,Yes,Threat of Deadly Force,Firearm Discharge,Yes,No,White,Male
UOF000085,S53680,A001,Riverbend Police Department,Municipal Police,2019-02-08,2019-02,Warrant,Agency Request for Service,City,Black or African American,Male,35 to 44,Yes,Edged Object,Yes,Passive Resistance,Physical Control,Yes,Yes,Unknown,Female
UOF000086,S55229,A001,Riverbend Police Department,Municipal Police,2019-02-07,2019-02,Offense Against Person,Public Request for Service,City,Unknown,Female,25 to 34,Yes,Edged Object,Yes,Active Resistance,K9,Yes,No,Unknown,Male
UOF000087,S45889,A001,Riverbend Police Department,Municipal Police,2019-02-19,2019-02,Offense Against Person,Public Request for Service,City,White,Male,25 to 34,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000088,S33090,A001,Riverbend Police Department,Municipal Police,2019-02-16,2019-02,Public Order Offense,Public Request for Service,Unincorporated Area,White,Male,18 to 24,Yes,Edged Object,Yes,Assaultive,ECW,No,No,Hispanic or Latino,Male
UOF000089,S00647,A001,Riverbend Police Department,Municipal Police,2019-02-14,2019-02,Property Offense,Public Request for Service,City,White,Male,35 to 44,No,Not Applicable,Yes,None,Physical Control,No,No,Unknown,Male
UOF000090,S88218,A001,Riverbend Police Department,Municipal Police,2019-02-26,2019-02,Property Offense,Public Request for Service,City,Unknown,Male,18 to 24,No,Not Applicable,Yes,Active Resistance,Physical Control,Yes,No,Unknown,Male
UOF000091,S11646,A001,Riverbend Police Department,Municipal Police,2019-02-27,2019-02,Property Offense,Public Request for Service,City,Hispanic or Latino,Female,18 to 24,No,Not Applicable,Yes,Assaultive,Physical Control,Yes,Yes,White,Male
UOF000092,S42033,A001,Riverbend Police Department,Municipal Police,2019-02-21,2019-02,Public Order Offense,Public Request for Service,City,Hispanic or Latino,Male,35 to 44,Yes,Edged Object,Yes,Active Resistance,Physical Control,No,No,Asian,Male
UOF000093,S44441,A001,Riverbend Police Department,Municipal Police,2019-03-26,2019-03,Property Offense,Agency Request for Service,Unincorporated Area,White,Male,55 and over,No,Not Applicable,Yes,None,Physical Control,No,No,Hispanic or Latino,Male
UOF000094,S44020,A001,Riverbend Police Department,Municipal Police,2019-03-25,2019-03,Property Offense,Agency Request for Service,City,White,Male,45 to 54,Yes,None Found,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000095,S12332,A001,Riverbend Police Department,Municipal Police,2019-03-31,2019-03,Property Offense,Public Request for Service,Unincorporated Area,White,Male,35 to 44,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Black or African American,Male
UOF000096,S72790,A001,Riverbend Police Department,Municipal Police,2019-03-07,2019-03,Warrant,Public Request for Service,Unincorporated Area,White,Male,55 and over,Yes,Edged Object,Yes,Active Resistance,Physical Control,No,Yes,Unknown,Male
UOF000097,S82357,A001,Riverbend Police Department,Municipal Police,2019-03-19,2019-03,Warrant,Public Request for Service,City,Black or African American,Unknown,35 to 44,No,Not Applicable,Yes,Active Resistance,Vehicle Intervention,No,No,Hispanic or Latino,Male
UOF000098,S13470,A001,Riverbend Police Department,Municipal Police,2019-03-20,2019-03,Public Order Offense,Public Request for Service,City,Black or African American,Male,35 to 44,Yes,None Found,Yes,Active Resistance,Physical Control,No,No,White,Male
UOF000099,S13493,A001,Riverbend Police Department,Municipal Police,2019-03-28,2019-03,Other,Individual Officer/Unit Initiated,City,Black or African American,Male,18 to 24,Yes,None Found,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000100,S60386,A001,Riverbend Police Department,Municipal Police,2019-03-02,2019-03,Offense Against Person,Public Request for Service,City,White,Male,25 to 34,No,Not Applicable,Yes,Assaultive,ECW,No,Yes,Black or African American,Male
UOF000101,S72031,A001,Riverbend Police Department,Municipal Police,2019-03-05,2019-03,Property Offense,Public Request for Service,City,Unknown,Female,18 to 24,Yes,Edged Object,Yes,Active Resistance,Firearm Discharge,Yes,Yes,Unknown,Male
UOF000102,S49525,A001,Riverbend Police Department,Municipal Police,2019-03-17,2019-03,Offense Against Person,Individual Officer/Unit Initiated,Unincorporated Area,White,Male,35 to 44,Yes,Edged Object,No,Active Resistance,Chemical Agent,No,No,Unknown,Male
UOF000103,S49080,A001,Riverbend Police Department,Municipal Police,2019-03-16,2019-03,Vehicle Stop,Public Request for Service,City,Hispanic or Latino,Female,25 to 34,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,White,Male
UOF000104,S04921,A001,Riverbend Police Department,Municipal Police,2019-03-04,2019-03,Public Order Offense,Individual Officer/Unit Initiated,City,Black or African American,Female,25 to 34,Yes,Edged Object,Yes,None,ECW,No,No,White,Male
UOF000105,S15383,A001,Riverbend Police Department,Municipal Police,2019-03-22,2019-03,Property Offense,Public Request for Service,City,Black or African American,Female,25 to 34,Yes,Edged Object,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000106,S61470,A001,Riverbend Police Department,Municipal Police,2019-03-24,2019-03,Vehicle Stop,Individual Officer/Unit Initiated,City,Hispanic or Latino,Male,18 to 24,Yes,Firearm,Yes,Active Resistance,Physical Control,No,Yes,White,Male
UOF000107,S07297,A001,Riverbend Police Department,Municipal Police,2019-03-27,2019-03,Warrant,Public Request for Service,City,White,Male,35 to 44,Yes,None Found,Yes,Passive Resistance,Physical Control,No,No,White,Male
UOF000108,S66600,A001,Riverbend Police Department,Municipal Police,2019-03-23,2019-03,Offense Against Person,Public Request for Service,City,Unknown,Female,35 to 44,No,Not Applicable,Yes,Passive Resistance,Physical Control,No,No,Asian,Male
UOF000109,S49457,A001,Riverbend Police Department,Municipal Police,2019-03-23,2019-03,Vehicle Stop,Public Request for Service,City,White,Male,35 to 44,Yes,Firearm,Yes,Threat of Deadly Force,Firearm Discharge,Yes,No,White,Male
UOF000110,S09935,A001,Riverbend Police Department,Municipal Police,2019-03-15,2019-03,Offense Against Person,Planned Activities,City,White,Male,55 and over,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000111,S33758,A001,Riverbend Police Department,Municipal Police,2019-03-12,2019-03,Property Offense,Individual Officer/Unit Initiated,City,Unknown,Female,35 to 44,No,Not Applicable,Yes,Assaultive,ECW,Yes,Yes,Unknown,Male
UOF000112,S56745,A001,Riverbend Police Department,Municipal Police,2019-03-18,2019-03,Property Offense,Public Request for Service,Unincorporated Area,Multiple Races/Ethnicities,Male,45 to 54,No,Not Applicable,Yes,Passive Resistance,Physical Control,No,Yes,Unknown,Male
UOF000113,S76049,A001,Riverbend Police Department,Municipal Police,2019-03-14,2019-03,Property Offense,Public Request for Service,City,Hispanic or Latino,Male,35 to 44,No,Not Applicable,Yes,Active Resistance,Physical Control,Yes,No,Unknown,Male
UOF000114,S28385,A001,Riverbend Police Department,Municipal Police,2019-03-29,2019-03,Vehicle Stop,Public Request for Service,City,White,Male,25 to 34,No,Not Applicable,Yes,Passive Resistance,Physical Control,No,No,Unknown,Male
UOF000115,S16413,A001,Riverbend Police Department,Municipal Police,2019-03-08,2019-03,Offense Against Person,Agency Request for Service,City,Hispanic or Latino,Male,35 to 44,No,Not Applicable,Yes,Active Resistance,Chemical Agent,No,Yes,Asian,Male
UOF000116,S49118,A001,Riverbend Police Department,Municipal Police,2019-03-18,2019-03,Offense Against Person,Public Request for Service,City,White,Male,25 to 34,No,Not Applicable,No,None,Physical Control,No,No,Asian,Male
UOF000117,S41391,A001,Riverbend Police Department,Municipal Police,2019-03-07,2019-03,Offense Against Person,Public Request for Service,City,White,Male,25 to 34,Yes,Firearm,Yes,Assaultive,Impact Weapon,Yes,No,White,Male
UOF000118,S84327,A001,Riverbend Police Department,Municipal Police,2019-03-03,2019-03,Vehicle Stop,Public Request for Service,City,Multiple Races/Ethnicities,Male,25 to 34,No,Not Applicable,Yes,Assaultive,Impact Weapon,No,No,Unknown,Male
UOF000119,S34105,A001,Riverbend Police Department,Municipal Police,2019-03-18,2019-03,Offense Against Person,Public Request for Service,City,White,Male,18 to 24,No,Not Applicable,Yes,Active Resistance,Impact Weapon,Yes,Yes,White,Male
