agency_id,year_month,incident_type,n_calls
A001,2020-12,Warrant,335
A001,2021-01,Civil Caretaking,4623
A001,2021-01,Offense Against Person,877
A001,2021-01,Other,4617
A001,2021-01,Pedestrian Stop,483
A001,2021-01,Property Offense,1786
A001,2021-01,Public Order Offense,2329
A001,2021-01,Vehicle Stop,3443
A001,2021-01,Warrant,307
A001,2021-02,Civil Caretaking,4441
A001,2021-02,Offense Against Person,957
A001,2021-02,Other,4229
A001,2021-02,Pedestrian Stop,409
A001,2021-02,Property Offense,1746
A001,2021-02,Public Order Offense,2294
A001,2021-02,Vehicle Stop,3149
A001,2021-02,Warrant,344
A001,2021-03,Civil Caretaking,4065
A001,2021-03,Offense Against Person,1048
A001,2021-03,Other,4633
A001,2021-03,Pedestrian Stop,568
A001,2021-03,Property Offense,1635
A001,2021-03,Public Order Offense,2395
A001,2021-03,Vehicle Stop,3352
A001,2021-03,Warrant,347
A001,2021-04,Civil Caretaking,3986
A001,2021-04,Offense Against Person,1289
A001,2021-04,Other,4423
A001,2021-04,Pedestrian Stop,539
A001,2021-04,Property Offense,1583
A001,2021-04,Public Order Offense,2717
A001,2021-04,Vehicle Stop,3617
A001,2021-04,Warrant,366
A001,2021-05,Civil Caretaking,3964
A001,2021-05,Offense Against Person,1437
A001,2021-05,Other,4874
A001,2021-05,Pedestrian Stop,530
A001,2021-05,Property Offense,1959
A001,2021-05,Public Order Offense,3291
A001,2021-05,Vehicle Stop,4904
A001,2021-05,Warrant,409
A001,2021-06,Civil Caretaking,3710
A001,2021-06,Offense Against Person,1355
A001,2021-06,Other,5246
A001,2021-06,Pedestrian Stop,641
A001,2021-06,Property Offense,1834
A001,2021-06,Public Order Offense,3256
A001,2021-06,Vehicle Stop,3883
A001,2021-06,Warrant,398
A001,2021-07,Civil Caretaking,3421
A001,2021-07,Offense Against Person,1486
A001,2021-07,Other,4975
A001,2021-07,Pedestrian Stop,601
A001,2021-07,Property Offense,2155
A001,2021-07,Public Order Offense,3452
A001,2021-07,Vehicle Stop,4360
A001,2021-07,Warrant,346
A001,2021-08,Civil Caretaking,3929
A001,2021-08,Offense Against Person,1555
A001,2021-08,Other,4980
A001,2021-08,Pedestrian Stop,717
A001,2021-08,Property Offense,2176
A001,2021-08,Public Order Offense,3249
A001,2021-08,Vehicle Stop,4075
A001,2021-08,Warrant,387
A001,2021-09,Civil Caretaking,3664
A001,2021-09,Offense Against Person,1248
A001,2021-09,Other,4951
A001,2021-09,Pedestrian Stop,569
A001,2021-09,Property Offense,2102
A001,2021-09,Public Order Offense,2979
A001,2021-09,Vehicle Stop,4194
A001,2021-09,Warrant,396
A001,2021-10,Civil Caretaking,4106
A001,2021-10,Offense Against Person,1320
A001,2021-10,Other,4668
A001,2021-10,Pedestrian Stop,540
A001,2021-10,Property Offense,2125
A001,2021-10,Public Order Offense,2677
A001,2021-10,Vehicle Stop,4085
A001,2021-10,Warrant,379
A001,2021-11,Civil Caretaking,4348
A001,2021-11,Offense Against Person,974
A001,2021-11,Other,4441
A001,2021-11,Pedestrian Stop,507
A001,2021-11,Property Offense,1898
A001,2021-11,Public Order Offense,2540
A001,2021-11,Vehicle Stop,3848
A001,2021-11,Warrant,396
A001,2021-12,Civil Caretaking,4589
A001,2021-12,Offense Against Person,1016
A001,2021-12,Other,4825
A001,2021-12,Pedestrian Stop,507
A001,2021-12,Property Offense,2065
A001,2021-12,Public Order Offense,2246
A001,2021-12,Vehicle Stop,3381
A001,2021-12,Warrant,373
A001,2022-01,Civil Caretaking,4173
A001,2022-01,Offense Against Person,897
A001,2022-01,Other,5008
A001,2022-01,Pedestrian Stop,449
A001,2022-01,Property Offense,1793
A001,2022-01,Public Order Offense,2239
A001,2022-01,Vehicle Stop,3670
A001,2022-01,Warrant,392
A001,2022-02,Civil Caretaking,3967
A001,2022-02,Offense Against Person,1069
A001,2022-02,Other,4614
A001,2022-02,Pedestrian Stop,494
A001,2022-02,Property Offense,1627
A001,2022-02,Public Order Offense,2561
A001,2022-02,Vehicle Stop,3801
A001,2022-02,Warrant,388
A001,2022-03,Civil Caretaking,4067
A001,2022-03,Offense Against Person,1042
A001,2022-03,Other,4956
A001,2022-03,Pedestrian Stop,485
A001,2022-03,Property Offense,1894
A001,2022-03,Public Order Offense,2563
A001,2022-03,Vehicle Stop,3750
A001,2022-03,Warrant,429
A001,2022-04,Civil Caretaking,4390
A001,2022-04,Offense Against Person,1147
A001,2022-04,Other,4825
A001,2022-04,Pedestrian Stop,484
A001,2022-04,Property Offense,1961
A001,2022-04,Public Order Offense,2955
A001,2022-04,Vehicle Stop,3557
A001,2022-04,Warrant,481
A001,2022-05,Civil Caretaking,3799
A001,2022-05,Offense Against Person,1390
A001,2022-05,Other,5240
A001,2022-05,Pedestrian Stop,595
A001,2022-05,Property Offense,1920
A001,2022-05,Public Order Offense,3051
A001,2022-05,Vehicle Stop,3779
A001,2022-05,Warrant,459
A001,2022-06,Civil Caretaking,4093
A001,2022-06,Offense Against Person,1371
A001,2022-06,Other,5062
A001,2022-06,Pedestrian Stop,585
A001,2022-06,Property Offense,2228
A001,2022-06,Public Order Offense,3198
A001,2022-06,Vehicle Stop,3989
A001,2022-06,Warrant,399
A001,2022-07,Civil Caretaking,3717
A001,2022-07,Offense Against Person,1530
A001,2022-07,Other,4856
A001,2022-07,Pedestrian Stop,633
A001,2022-07,Property Offense,2021
A001,2022-07,Public Order Offense,3594
A001,2022-07,Vehicle Stop,4169
A001,2022-07,Warrant,391
A001,2022-08,Civil Caretaking,3933
A001,2022-08,Offense Against Person,1308
A001,2022-08,Other,5719
A001,2022-08,Pedestrian Stop,668
A001,2022-08,Property Offense,2258
A001,2022-08,Public Order Offense,3652
A001,2022-08,Vehicle Stop,3982
A001,2022-08,Warrant,334
A001,2022-09,Civil Caretaking,3870
A001,2022-09,Offense Against Person,1258
A001,2022-09,Other,5033
A001,2022-09,Pedestrian Stop,573
A001,2022-09,Property Offense,2375
A001,2022-09,Public Order Offense,3131
A001,2022-09,Vehicle Stop,4239
A001,2022-09,Warrant,374
A001,2022-10,Civil Caretaking,3737
A001,2022-10,Offense Against Person,1143
A001,2022-10,Other,4905
A001,2022-10,Pedestrian Stop,539
A001,2022-10,Property Offense,2060
A001,2022-10,Public Order Offense,2388
A001,2022-10,Vehicle Stop,3876
A001,2022-10,Warrant,309
A001,2022-11,Civil Caretaking,4412
A001,2022-11,Offense Against Person,1045
A001,2022-11,Other,4998
A001,2022-11,Pedestrian Stop,547
A001,2022-11,Property Offense,2253
A001,2022-11,Public Order Offense,2796
A001,2022-11,Vehicle Stop,3915
A001,2022-11,Warrant,343
A001,2022-12,Civil Caretaking,4390
A001,2022-12,Offense Against Person,1047
A001,2022-12,Other,4668
A001,2022-12,Pedestrian Stop,478
A001,2022-12,Property Offense,1699
A001,2022-12,Public Order Offense,2506
A001,2022-12,Vehicle Stop,3908
A001,2022-12,Warrant,374
A001,2023-01,Civil Caretaking,4405
A001,2023-01,Offense Against Person,889
A001,2023-01,Other,4831
A001,2023-01,Pedestrian Stop,493
A001,2023-01,Property Offense,1468
A001,2023-01,Public Order Offense,2219
A001,2023-01,Vehicle Stop,3548
A001,2023-01,Warrant,381
A001,2023-02,Civil Caretaking,4325
A001,2023-02,Offense Against Person,998
A001,2023-02,Other,4994
A001,2023-02,Pedestrian Stop,468
A001,2023-02,Property Offense,1956
A001,2023-02,Public Order Offense,2456
A001,2023-02,Vehicle Stop,3333
A001,2023-02,Warrant,376
A001,2023-03,Civil Caretaking,4339
A001,2023-03,Offense Against Person,1162
A001,2023-03,Other,4994
A001,2023-03,Pedestrian Stop,527
A001,2023-03,Property Offense,1732
A001,2023-03,Public Order Offense,2684
A001,2023-03,Vehicle Stop,3403
A001,2023-03,Warrant,418
A001,2023-04,Civil Caretaking,4202
A001,2023-04,Offense Against Person,1335
A001,2023-04,Other,5150
A001,2023-04,Pedestrian Stop,538
A001,2023-04,Property Offense,1807
A001,2023-04,Public Order Offense,3163
A001,2023-04,Vehicle Stop,3842
A001,2023-04,Warrant,413
A001,2023-05,Civil Caretaking,4149
A001,2023-05,Offense Against Person,1287
A001,2023-05,Other,5777
A001,2023-05,Pedestrian Stop,608
A001,2023-05,Property Offense,2113
A001,2023-05,Public Order Offense,2905
A001,2023-05,Vehicle Stop,4294
A001,2023-05,Warrant,346
A001,2023-06,Civil Caretaking,3753
A001,2023-06,Offense Against Person,1578
A001,2023-06,Other,6091
A001,2023-06,Pedestrian Stop,607
A001,2023-06,Property Offense,2224
A001,2023-06,Public Order Offense,3301
A001,2023-06,Vehicle Stop,3897
A001,2023-06,Warrant,414
A001,2023-07,Civil Caretaking,3546
A001,2023-07,Offense Against Person,1225
A001,2023-07,Other,5607
A001,2023-07,Pedestrian Stop,621
A001,2023-07,Property Offense,2428
A001,2023-07,Public Order Offense,3100
A001,2023-07,Vehicle Stop,4558
A001,2023-07,Warrant,354
A001,2023-08,Civil Caretaking,3666
A001,2023-08,Offense Against Person,1532
A001,2023-08,Other,5269
A001,2023-08,Pedestrian Stop,596
A001,2023-08,Property Offense,2434
A001,2023-08,Public Order Offense,2762
A001,2023-08,Vehicle Stop,4191
A001,2023-08,Warrant,360
A001,2023-09,Civil Caretaking,4394
A001,2023-09,Offense Against Person,1520
A001,2023-09,Other,5111
A001,2023-09,Pedestrian Stop,537
A001,2023-09,Property Offense,2407
A001,2023-09,Public Order Offense,3145
A001,2023-09,Vehicle Stop,4230
A001,2023-09,Warrant,382
A001,2023-10,Civil Caretaking,4203
A001,2023-10,Offense Against Person,1225
A001,2023-10,Other,5193
A001,2023-10,Pedestrian Stop,482
A001,2023-10,Property Offense,1953
A001,2023-10,Public Order Offense,2855
A001,2023-10,Vehicle Stop,4035
A001,2023-10,Warrant,350
A001,2023-11,Civil Caretaking,4779
A001,2023-11,Offense Against Person,1142
A001,2023-11,Other,5076
A001,2023-11,Pedestrian Stop,484
A001,2023-11,Property Offense,2162
A001,2023-11,Public Order Offense,2432
A001,2023-11,Vehicle Stop,3811
A001,2023-11,Warrant,358
A001,2023-12,Civil Caretaking,4579
A001,2023-12,Offense Against Person,868
A001,2023-12,Other,5285
A001,2023-12,Pedestrian Stop,486
A001,2023-12,Property Offense,1694
A001,2023-12,Public Order Offense,2576
A001,2023-12,Vehicle Stop,3749
A001,2023-12,Warrant,344
A001,2024-01,Civil Caretaking,4448
A001,2024-01,Offense Against Person,913
A001,2024-01,Other,4439
A001,2024-01,Pedestrian Stop,423
A001,2024-01,Property Offense,1893
A001,2024-01,Public Order Offense,2237
A001,2024-01,Vehicle Stop,3346
A001,2024-01,Warrant,367
A001,2024-02,Civil Caretaking,4465
A001,2024-02,Offense Against Person,1073
A001,2024-02,Other,4444
A001,2024-02,Pedestrian Stop,472
A001,2024-02,Property Offense,1764
A001,2024-02,Public Order Offense,2219
A001,2024-02,Vehicle Stop,3357
A001,2024-02,Warrant,408
A001,2024-03,Civil Caretaking,5021
A001,2024-03,Offense Against Person,1167
A001,2024-03,Other,4354
A001,2024-03,Pedestrian Stop,580
A001,2024-03,Property Offense,1764
A001,2024-03,Public Order Offense,2753
A001,2024-03,Vehicle Stop,3699
A001,2024-03,Warrant,408
A001,2024-04,Civil Caretaking,3914
A001,2024-04,Offense Against Person,1211
A001,2024-04,Other,4826
A001,2024-04,Pedestrian Stop,546
A001,2024-04,Property Offense,1834
A001,2024-04,Public Order Offense,2936
A001,2024-04,Vehicle Stop,3703
A001,2024-04,Warrant,461
A001,2024-05,Civil Caretaking,3829
A001,2024-05,Offense Against Person,1469
A001,2024-05,Other,4888
A001,2024-05,Pedestrian Stop,602
A001,2024-05,Property Offense,1906
A001,2024-05,Public Order Offense,3379
A001,2024-05,Vehicle Stop,4768
A001,2024-05,Warrant,342
A001,2024-06,Civil Caretaking,3854
A001,2024-06,Offense Against Person,1418
A001,2024-06,Other,5285
A001,2024-06,Pedestrian Stop,726
A001,2024-06,Property Offense,2041
A001,2024-06,Public Order Offense,3226
A001,2024-06,Vehicle Stop,4777
A001,2024-06,Warrant,370
A001,2024-07,Civil Caretaking,4213
A001,2024-07,Offense Against Person,1624
A001,2024-07,Other,4989
A001,2024-07,Pedestrian Stop,698
A001,2024-07,Property Offense,2341
A001,2024-07,Public Order Offense,3059
A001,2024-07,Vehicle Stop,4016
A001,2024-07,Warrant,430
A001,2024-08,Civil Caretaking,3780
A001,2024-08,Offense Against Person,1455
A001,2024-08,Other,4847
A001,2024-08,Pedestrian Stop,652
A001,2024-08,Property Offense,2233
A001,2024-08,Public Order Offense,3488
A001,2024-08,Vehicle Stop,4988
A001,2024-08,Warrant,412
A001,2024-09,Civil Caretaking,4209
A001,2024-09,Offense Against Person,1344
A001,2024-09,Other,5179
A001,2024-09,Pedestrian Stop,567
A001,2024-09,Property Offense,2107
A001,2024-09,Public Order Offense,3262
A001,2024-09,Vehicle Stop,4265
A001,2024-09,Warrant,427
A001,2024-10,Civil Caretaking,4221
A001,2024-10,Offense Against Person,1283
A001,2024-10,Other,5042
A001,2024-10,Pedestrian Stop,504
A001,2024-10,Property Offense,2259
A001,2024-10,Public Order Offense,2819
A001,2024-10,Vehicle Stop,4186
A001,2024-10,Warrant,361
A001,2024-11,Civil Caretaking,4106
A001,2024-11,Offense Against Person,1156
A001,2024-11,Other,4946
A001,2024-11,Pedestrian Stop,505
A001,2024-11,Property Offense,2303
A001,2024-11,Public Order Offense,2393
A001,2024-11,Vehicle Stop,3574
A001,2024-11,Warrant,351
A001,2024-12,Civil Caretaking,4193
A001,2024-12,Offense Against Person,1028
A001,2024-12,Other,5236
A001,2024-12,Pedestrian Stop,487
A001,2024-12,Property Offense,1847
A001,2024-12,Public Order Offense,2377
A001,2024-12,Vehicle Stop,3841
A001,2024-12,Warrant,360
A001,2025-01,Civil Caretaking,4624
A001,2025-01,Offense Against Person,780
A001,2025-01,Other,4836
A001,2025-01,Pedestrian Stop,448
A001,2025-01,Property Offense,1889
A001,2025-01,Public Order Offense,2087
A001,2025-01,Vehicle Stop,3593
A001,2025-01,Warrant,423
A001,2025-02,Civil Caretaking,4663
A001,2025-02,Offense Against Person,905
A001,2025-02,Other,5111
A001,2025-02,Pedestrian Stop,494
A001,2025-02,Property Offense,1745
A001,2025-02,Public Order Offense,2577
A001,2025-02,Vehicle Stop,3474
A001,2025-02,Warrant,430
A001,2025-03,Civil Caretaking,4184
A001,2025-03,Offense Against Person,1247
A001,2025-03,Other,5453
A001,2025-03,Pedestrian Stop,498
A001,2025-03,Property Offense,1950
A001,2025-03,Public Order Offense,2649
A001,2025-03,Vehicle Stop,3890
A001,2025-03,Warrant,428
A001,2025-04,Civil Caretaking,4206
A001,2025-04,Offense Against Person,1314
A001,2025-04,Other,5119
A001,2025-04,Pedestrian Stop,567
A001,2025-04,Property Offense,1860
A001,2025-04,Public Order Offense,2989
A001,2025-04,Vehicle Stop,4246
A001,2025-04,Warrant,396
A001,2025-05,Civil Caretaking,3916
A001,2025-05,Offense Against Person,1340
A001,2025-05,Other,6378
A001,2025-05,Pedestrian Stop,598
A001,2025-05,Property Offense,1998
A001,2025-05,Public Order Offense,3235
A001,2025-05,Vehicle Stop,4031
A001,2025-05,Warrant,404
A001,2025-06,Civil Caretaking,3987
A001,2025-06,Offense Against Person,1525
A001,2025-06,Other,5852
A001,2025-06,Pedestrian Stop,640
A001,2025-06,Property Offense,2350
A001,2025-06,Public Order Offense,3248
A001,2025-06,Vehicle Stop,4324
A001,2025-06,Warrant,368
A001,2025-07,Civil Caretaking,4186
A001,2025-07,Offense Against Person,1530
A001,2025-07,Other,4968
A001,2025-07,Pedestrian Stop,662
A001,2025-07,Property Offense,2154
A001,2025-07,Public Order Offense,3696
A001,2025-07,Vehicle Stop,4546
A001,2025-07,Warrant,435
A001,2025-08,Civil Caretaking,3678
A001,2025-08,Offense Against Person,1615
A001,2025-08,Other,5637
A001,2025-08,Pedestrian Stop,646
A001,2025-08,Property Offense,2298
A001,2025-08,Public Order Offense,3372
A001,2025-08,Vehicle Stop,4707
A001,2025-08,Warrant,374
A001,2025-09,Civil Caretaking,4323
A001,2025-09,Offense Against Person,1379
A001,2025-09,Other,5414
A001,2025-09,Pedestrian Stop,525
A001,2025-09,Property Offense,2310
A001,2025-09,Public Order Offense,2982
A001,2025-09,Vehicle Stop,4583
A001,2025-09,Warrant,372
A001,2025-10,Civil Caretaking,4118
A001,2025-10,Offense Against Person,1436
A001,2025-10,Other,4694
A001,2025-10,Pedestrian Stop,609
A001,2025-10,Property Offense,2526
A001,2025-10,Public Order Offense,2709
A001,2025-10,Vehicle Stop,4269
A001,2025-10,Warrant,359
A001,2025-11,Civil Caretaking,4163
A001,2025-11,Offense Against Person,1005
A001,2025-11,Other,5043
A001,2025-11,Pedestrian Stop,535
A001,2025-11,Property Offense,2069
A001,2025-11,Public Order Offense,2362
A001,2025-11,Vehicle Stop,4205
A001,2025-11,Warrant,362
A001,2025-12,Civil Caretaking,4619
A001,2025-12,Offense Against Person,951
A001,2025-12,Other,5172
A001,2025-12,Pedestrian Stop,517
A001,2025-12,Property Offense,1927
A001,2025-12,Public Order Offense,2320
A001,2025-12,Vehicle Stop,3645
A001,2025-12,Warrant,347
A001,2026-01,Civil Caretaking,4287
A001,2026-01,Offense Against Person,972
A001,2026-01,Other,4835
A001,2026-01,Pedestrian Stop,540
A001,2026-01,Property Offense,1837
A001,2026-01,Public Order Offense,2197
A001,2026-01,Vehicle Stop,3357
A001,2026-01,Warrant,392
A001,2026-02,Civil Caretaking,4698
A001,2026-02,Offense Against Person,1055
A001,2026-02,Other,5116
A001,2026-02,Pedestrian Stop,475
A001,2026-02,Property Offense,1898
A001,2026-02,Public Order Offense,2445
A001,2026-02,Vehicle Stop,3424
A001,2026-02,Warrant,390
A001,2026-03,Civil Caretaking,4630
A001,2026-03,Offense Against Person,1150
A001,2026-03,Other,4753
A001,2026-03,Pedestrian Stop,517
A001,2026-03,Property Offense,1990
A001,2026-03,Public Order Offense,2729
A001,2026-03,Vehicle Stop,3819
A001,2026-03,Warrant,392
A001,2026-04,Civil Caretaking,4259
A001,2026-04,Offense Against Person,1265
A001,2026-04,Other,5726
A001,2026-04,Pedestrian Stop,576
A001,2026-04,Property Offense,2071
A001,2026-04,Public Order Offense,2974
A001,2026-04,Vehicle Stop,3571
A001,2026-04,Warrant,420
A001,2026-05,Civil Caretaking,2509
A001,2026-05,Offense Against Person,1065
A001,2026-05,Other,4256
A001,2026-05,Pedestrian Stop,483
A001,2026-05,Property Offense,1499
A001,2026-05,Public Order Offense,2230
A001,2026-05,Vehicle Stop,3158
A001,2026-05,Warrant,302
A001,2026-06,Civil Caretaking,1687
A001,2026-06,Offense Against Person,681
A001,2026-06,Other,2393
A001,2026-06,Pedestrian Stop,296
A001,2026-06,Property Offense,1063
A001,2026-06,Public Order Offense,1401
A001,2026-06,Vehicle Stop,1915
A001,2026-06,Warrant,179
A002,2019-01,Civil Caretaking,1942
A002,2019-01,Offense Against Person,455
A002,2019-01,Other,2253
A002,2019-01,Pedestrian Stop,190
A002,2019-01,Property Offense,738
A002,2019-01,Public Order Offense,1006
A002,2019-01,Vehicle Stop,1454
A002,2019-01,Warrant,160
A002,2019-02,Civil Caretaking,1814
A002,2019-02,Offense Against Person,395
A002,2019-02,Other,2030
A002,2019-02,Pedestrian Stop,206
A002,2019-02,Property Offense,784
A002,2019-02,Public Order Offense,1026
A002,2019-02,Vehicle Stop,1517
A002,2019-02,Warrant,179
A002,2019-03,Civil Caretaking,2017
A002,2019-03,Offense Against Person,476
A002,2019-03,Other,2160
A002,2019-03,Pedestrian Stop,231
A002,2019-03,Property Offense,779
A002,2019-03,Public Order Offense,1155
A002,2019-03,Vehicle Stop,1599
A002,2019-03,Warrant,195
A002,2019-04,Civil Caretaking,1820
A002,2019-04,Offense Against Person,572
A002,2019-04,Other,2137
A002,2019-04,Pedestrian Stop,240
A002,2019-04,Property Offense,876
A002,2019-04,Public Order Offense,1312
A002,2019-04,Vehicle Stop,1707
A002,2019-04,Warrant,152
A002,2019-05,Civil Caretaking,1611
A002,2019-05,Offense Against Person,599
A002,2019-05,Other,2171
A002,2019-05,Pedestrian Stop,234
A002,2019-05,Property Offense,915
A002,2019-05,Public Order Offense,1328
A002,2019-05,Vehicle Stop,1620
A002,2019-05,Warrant,138
A002,2019-06,Civil Caretaking,1722
A002,2019-06,Offense Against Person,624
A002,2019-06,Other,2203
A002,2019-06,Pedestrian Stop,282
A002,2019-06,Property Offense,983
A002,2019-06,Public Order Offense,1370
A002,2019-06,Vehicle Stop,1796
A002,2019-06,Warrant,180
A002,2019-07,Civil Caretaking,1740
A002,2019-07,Offense Against Person,643
A002,2019-07,Other,2121
A002,2019-07,Pedestrian Stop,301
A002,2019-07,Property Offense,913
A002,2019-07,Public Order Offense,1442
A002,2019-07,Vehicle Stop,1953
A002,2019-07,Warrant,156
A002,2019-08,Civil Caretaking,1759
