agency_id,agency_name,agency_type,year_month,incident_type,incident_detail,n_calls
A001,Riverbend Police Department,Municipal Police,2019-03,Public Order Offense,Weapon related,185
A001,Riverbend Police Department,Municipal Police,2019-03,Public Order Offense,Transit related,95
A001,Riverbend Police Department,Municipal Police,2019-03,Public Order Offense,Public Order Offense - Other,1130
A001,Riverbend Police Department,Municipal Police,2019-03,Vehicle Stop,DUI,216
A001,Riverbend Police Department,Municipal Police,2019-03,Vehicle Stop,Accident,575
A001,Riverbend Police Department,Municipal Police,2019-03,Vehicle Stop,Moving violation,1275
A001,Riverbend Police Department,Municipal Police,2019-03,Vehicle Stop,Non-moving violation,368
A001,Riverbend Police Department,Municipal Police,2019-03,Vehicle Stop,Vehicle Stop - Other,562
A001,Riverbend Police Department,Municipal Police,2019-03,Pedestrian Stop,Pedestrian Stop,537
A001,Riverbend Police Department,Municipal Police,2019-03,Civil Caretaking,Mental health / wellness check,937
A001,Riverbend Police Department,Municipal Police,2019-03,Civil Caretaking,Civil infraction,560
A001,Riverbend Police Department,Municipal Police,2019-03,Civil Caretaking,Eviction order enforcement,216
A001,Riverbend Police Department,Municipal Police,2019-03,Civil Caretaking,Domestic order enforcement,406
A001,Riverbend Police Department,Municipal Police,2019-03,Civil Caretaking,Civil Caretaking - Other,1964
A001,Riverbend Police Department,Municipal Police,2019-03,Warrant,Warrant,406
A001,Riverbend Police Department,Municipal Police,2019-03,Other,Other,4685
A001,Riverbend Police Department,Municipal Police,2019-04,Offense Against Person,Assault,415
A001,Riverbend Police Department,Municipal Police,2019-04,Offense Against Person,Homicide,13
A001,Riverbend Police Department,Municipal Police,2019-04,Offense Against Person,Rape,42
A001,Riverbend Police Department,Municipal Police,2019-04,Offense Against Person,Robbery,60
A001,Riverbend Police Department,Municipal Police,2019-04,Offense Against Person,Civil order violation,132
A001,Riverbend Police Department,Municipal Police,2019-04,Offense Against Person,Offense Against Person - Other,512
A001,Riverbend Police Department,Municipal Police,2019-04,Property Offense,Arson,32
A001,Riverbend Police Department,Municipal Police,2019-04,Property Offense,Burglary,257
A001,Riverbend Police Department,Municipal Police,2019-04,Property Offense,Theft,462
A001,Riverbend Police Department,Municipal Police,2019-04,Property Offense,Mischief,171
A001,Riverbend Police Department,Municipal Police,2019-04,Property Offense,Trespassing,171
A001,Riverbend Police Department,Municipal Police,2019-04,Property Offense,Vehicle theft/prowl,199
A001,Riverbend Police Department,Municipal Police,2019-04,Property Offense,Property Offense - Other,513
A001,Riverbend Police Department,Municipal Police,2019-04,Public Order Offense,Public disturbance,684
A001,Riverbend Police Department,Municipal Police,2019-04,Public Order Offense,Drug related,371
A001,Riverbend Police Department,Municipal Police,2019-04,Public Order Offense,Sex related,89
A001,Riverbend Police Department,Municipal Police,2019-04,Public Order Offense,Weapon related,161
A001,Riverbend Police Department,Municipal Police,2019-04,Public Order Offense,Transit related,119
A001,Riverbend Police Department,Municipal Police,2019-04,Public Order Offense,Public Order Offense - Other,1114
A001,Riverbend Police Department,Municipal Police,2019-04,Vehicle Stop,DUI,228
A001,Riverbend Police Department,Municipal Police,2019-04,Vehicle Stop,Accident,656
A001,Riverbend Police Department,Municipal Police,2019-04,Vehicle Stop,Moving violation,1432
A001,Riverbend Police Department,Municipal Police,2019-04,Vehicle Stop,Non-moving violation,450
A001,Riverbend Police Department,Municipal Police,2019-04,Vehicle Stop,Vehicle Stop - Other,645
A001,Riverbend Police Department,Municipal Police,2019-04,Pedestrian Stop,Pedestrian Stop,493
A001,Riverbend Police Department,Municipal Police,2019-04,Civil Caretaking,Mental health / wellness check,901
A001,Riverbend Police Department,Municipal Police,2019-04,Civil Caretaking,Civil infraction,577
A001,Riverbend Police Department,Municipal Police,2019-04,Civil Caretaking,Eviction order enforcement,200
A001,Riverbend Police Department,Municipal Police,2019-04,Civil Caretaking,Domestic order enforcement,423
A001,Riverbend Police Department,Municipal Police,2019-04,Civil Caretaking,Civil Caretaking - Other,1993
A001,Riverbend Police Department,Municipal Police,2019-04,Warrant,Warrant,356
A001,Riverbend Police Department,Municipal Police,2019-04,Other,Other,4391
A001,Riverbend Police Department,Municipal Police,2019-05,Offense Against Person,Assault,445
A001,Riverbend Police Department,Municipal Police,2019-05,Offense Against Person,Homicide,11
A001,Riverbend Police Department,Municipal Police,2019-05,Offense Against Person,Rape,33
A001,Riverbend Police Department,Municipal Police,2019-05,Offense Against Person,Robbery,77
A001,Riverbend Police Department,Municipal Police,2019-05,Offense Against Person,Civil order violation,159
A001,Riverbend Police Department,Municipal Police,2019-05,Offense Against Person,Offense Against Person - Other,585
A001,Riverbend Police Department,Municipal Police,2019-05,Property Offense,Arson,34
A001,Riverbend Police Department,Municipal Police,2019-05,Property Offense,Burglary,267
A001,Riverbend Police Department,Municipal Police,2019-05,Property Offense,Theft,543
A001,Riverbend Police Department,Municipal Police,2019-05,Property Offense,Mischief,191
A001,Riverbend Police Department,Municipal Police,2019-05,Property Offense,Trespassing,165
A001,Riverbend Police Department,Municipal Police,2019-05,Property Offense,Vehicle theft/prowl,236
A001,Riverbend Police Department,Municipal Police,2019-05,Property Offense,Property Offense - Other,651
A001,Riverbend Police Department,Municipal Police,2019-05,Public Order Offense,Public disturbance,758
A001,Riverbend Police Department,Municipal Police,2019-05,Public Order Offense,Drug related,377
A001,Riverbend Police Department,Municipal Police,2019-05,Public Order Offense,Sex related,106
A001,Riverbend Police Department,Municipal Police,2019-05,Public Order Offense,Weapon related,205
A001,Riverbend Police Department,Municipal Police,2019-05,Public Order Offense,Transit related,154
A001,Riverbend Police Department,Municipal Police,2019-05,Public Order Offense,Public Order Offense - Other,1150
A001,Riverbend Police Department,Municipal Police,2019-05,Vehicle Stop,DUI,281
A001,Riverbend Police Department,Municipal Police,2019-05,Vehicle Stop,Accident,632
A001,Riverbend Police Department,Municipal Police,2019-05,Vehicle Stop,Moving violation,1470
A001,Riverbend Police Department,Municipal Police,2019-05,Vehicle Stop,Non-moving violation,470
A001,Riverbend Police Department,Municipal Police,2019-05,Vehicle Stop,Vehicle Stop - Other,682
A001,Riverbend Police Department,Municipal Police,2019-05,Pedestrian Stop,Pedestrian Stop,490
A001,Riverbend Police Department,Municipal Police,2019-05,Civil Caretaking,Mental health / wellness check,848
A001,Riverbend Police Department,Municipal Police,2019-05,Civil Caretaking,Civil infraction,504
A001,Riverbend Police Department,Municipal Police,2019-05,Civil Caretaking,Eviction order enforcement,174
A001,Riverbend Police Department,Municipal Police,2019-05,Civil Caretaking,Domestic order enforcement,383
A001,Riverbend Police Department,Municipal Police,2019-05,Civil Caretaking,Civil Caretaking - Other,1764
A001,Riverbend Police Department,Municipal Police,2019-05,Warrant,Warrant,339
A001,Riverbend Police Department,Municipal Police,2019-05,Other,Other,4658
A001,Riverbend Police Department,Municipal Police,2019-06,Offense Against Person,Assault,431
A001,Riverbend Police Department,Municipal Police,2019-06,Offense Against Person,Homicide,13
A001,Riverbend Police Department,Municipal Police,2019-06,Offense Against Person,Rape,48
A001,Riverbend Police Department,Municipal Police,2019-06,Offense Against Person,Robbery,83
A001,Riverbend Police Department,Municipal Police,2019-06,Offense Against Person,Civil order violation,136
A001,Riverbend Police Department,Municipal Police,2019-06,Offense Against Person,Offense Against Person - Other,570
A001,Riverbend Police Department,Municipal Police,2019-06,Property Offense,Arson,38
A001,Riverbend Police Department,Municipal Police,2019-06,Property Offense,Burglary,277
A001,Riverbend Police Department,Municipal Police,2019-06,Property Offense,Theft,552
A001,Riverbend Police Department,Municipal Police,2019-06,Property Offense,Mischief,204
A001,Riverbend Police Department,Municipal Police,2019-06,Property Offense,Trespassing,194
A001,Riverbend Police Department,Municipal Police,2019-06,Property Offense,Vehicle theft/prowl,208
A001,Riverbend Police Department,Municipal Police,2019-06,Property Offense,Property Offense - Other,665
A001,Riverbend Police Department,Municipal Police,2019-06,Public Order Offense,Public disturbance,810
A001,Riverbend Police Department,Municipal Police,2019-06,Public Order Offense,Drug related,449
A001,Riverbend Police Department,Municipal Police,2019-06,Public Order Offense,Sex related,128
A001,Riverbend Police Department,Municipal Police,2019-06,Public Order Offense,Weapon related,214
A001,Riverbend Police Department,Municipal Police,2019-06,Public Order Offense,Transit related,126
A001,Riverbend Police Department,Municipal Police,2019-06,Public Order Offense,Public Order Offense - Other,1432
A001,Riverbend Police Department,Municipal Police,2019-06,Vehicle Stop,DUI,237
A001,Riverbend Police Department,Municipal Police,2019-06,Vehicle Stop,Accident,682
A001,Riverbend Police Department,Municipal Police,2019-06,Vehicle Stop,Moving violation,1525
A001,Riverbend Police Department,Municipal Police,2019-06,Vehicle Stop,Non-moving violation,499
A001,Riverbend Police Department,Municipal Police,2019-06,Vehicle Stop,Vehicle Stop - Other,697
A001,Riverbend Police Department,Municipal Police,2019-06,Pedestrian Stop,Pedestrian Stop,545
A001,Riverbend Police Department,Municipal Police,2019-06,Civil Caretaking,Mental health / wellness check,794
A001,Riverbend Police Department,Municipal Police,2019-06,Civil Caretaking,Civil infraction,504
A001,Riverbend Police Department,Municipal Police,2019-06,Civil Caretaking,Eviction order enforcement,156
A001,Riverbend Police Department,Municipal Police,2019-06,Civil Caretaking,Domestic order enforcement,347
A001,Riverbend Police Department,Municipal Police,2019-06,Civil Caretaking,Civil Caretaking - Other,1714
A001,Riverbend Police Department,Municipal Police,2019-06,Warrant,Warrant,313
A001,Riverbend Police Department,Municipal Police,2019-06,Other,Other,4493
A001,Riverbend Police Department,Municipal Police,2019-07,Offense Against Person,Assault,522
A001,Riverbend Police Department,Municipal Police,2019-07,Offense Against Person,Homicide,19
A001,Riverbend Police Department,Municipal Police,2019-07,Offense Against Person,Rape,50
A001,Riverbend Police Department,Municipal Police,2019-07,Offense Against Person,Robbery,102
A001,Riverbend Police Department,Municipal Police,2019-07,Offense Against Person,Civil order violation,187
A001,Riverbend Police Department,Municipal Police,2019-07,Offense Against Person,Offense Against Person - Other,660
A001,Riverbend Police Department,Municipal Police,2019-07,Property Offense,Arson,37
A001,Riverbend Police Department,Municipal Police,2019-07,Property Offense,Burglary,275
A001,Riverbend Police Department,Municipal Police,2019-07,Property Offense,Theft,527
A001,Riverbend Police Department,Municipal Police,2019-07,Property Offense,Mischief,177
A001,Riverbend Police Department,Municipal Police,2019-07,Property Offense,Trespassing,205
A001,Riverbend Police Department,Municipal Police,2019-07,Property Offense,Vehicle theft/prowl,222
A001,Riverbend Police Department,Municipal Police,2019-07,Property Offense,Property Offense - Other,614
A001,Riverbend Police Department,Municipal Police,2019-07,Public Order Offense,Public disturbance,940
A001,Riverbend Police Department,Municipal Police,2019-07,Public Order Offense,Drug related,495
A001,Riverbend Police Department,Municipal Police,2019-07,Public Order Offense,Sex related,163
A001,Riverbend Police Department,Municipal Police,2019-07,Public Order Offense,Weapon related,240
A001,Riverbend Police Department,Municipal Police,2019-07,Public Order Offense,Transit related,187
A001,Riverbend Police Department,Municipal Police,2019-07,Public Order Offense,Public Order Offense - Other,1510
A001,Riverbend Police Department,Municipal Police,2019-07,Vehicle Stop,DUI,290
A001,Riverbend Police Department,Municipal Police,2019-07,Vehicle Stop,Accident,736
A001,Riverbend Police Department,Municipal Police,2019-07,Vehicle Stop,Moving violation,1537
A001,Riverbend Police Department,Municipal Police,2019-07,Vehicle Stop,Non-moving violation,528
A001,Riverbend Police Department,Municipal Police,2019-07,Vehicle Stop,Vehicle Stop - Other,754
A001,Riverbend Police Department,Municipal Police,2019-07,Pedestrian Stop,Pedestrian Stop,578
A001,Riverbend Police Department,Municipal Police,2019-07,Civil Caretaking,Mental health / wellness check,718
A001,Riverbend Police Department,Municipal Police,2019-07,Civil Caretaking,Civil infraction,448
A001,Riverbend Police Department,Municipal Police,2019-07,Civil Caretaking,Eviction order enforcement,176
A001,Riverbend Police Department,Municipal Police,2019-07,Civil Caretaking,Domestic order enforcement,342
A001,Riverbend Police Department,Municipal Police,2019-07,Civil Caretaking,Civil Caretaking - Other,1674
A001,Riverbend Police Department,Municipal Police,2019-07,Warrant,Warrant,411
A001,Riverbend Police Department,Municipal Police,2019-07,Other,Other,5114
A001,Riverbend Police Department,Municipal Police,2019-08,Offense Against Person,Assault,431
A001,Riverbend Police Department,Municipal Police,2019-08,Offense Against Person,Homicide,11
A001,Riverbend Police Department,Municipal Police,2019-08,Offense Against Person,Rape,37
A001,Riverbend Police Department,Municipal Police,2019-08,Offense Against Person,Robbery,65
A001,Riverbend Police Department,Municipal Police,2019-08,Offense Against Person,Civil order violation,160
A001,Riverbend Police Department,Municipal Police,2019-08,Offense Against Person,Offense Against Person - Other,574
A001,Riverbend Police Department,Municipal Police,2019-08,Property Offense,Arson,56
A001,Riverbend Police Department,Municipal Police,2019-08,Property Offense,Burglary,270
A001,Riverbend Police Department,Municipal Police,2019-08,Property Offense,Theft,593
A001,Riverbend Police Department,Municipal Police,2019-08,Property Offense,Mischief,201
A001,Riverbend Police Department,Municipal Police,2019-08,Property Offense,Trespassing,235
A001,Riverbend Police Department,Municipal Police,2019-08,Property Offense,Vehicle theft/prowl,226
A001,Riverbend Police Department,Municipal Police,2019-08,Property Offense,Property Offense - Other,693
A001,Riverbend Police Department,Municipal Police,2019-08,Public Order Offense,Public disturbance,829
A001,Riverbend Police Department,Municipal Police,2019-08,Public Order Offense,Drug related,375
A001,Riverbend Police Department,Municipal Police,2019-08,Public Order Offense,Sex related,114
A001,Riverbend Police Department,Municipal Police,2019-08,Public Order Offense,Weapon related,213
A001,Riverbend Police Department,Municipal Police,2019-08,Public Order Offense,Transit related,165
A001,Riverbend Police Department,Municipal Police,2019-08,Public Order Offense,Public Order Offense - Other,1271
A001,Riverbend Police Department,Municipal Police,2019-08,Vehicle Stop,DUI,270
A001,Riverbend Police Department,Municipal Police,2019-08,Vehicle Stop,Accident,689
A001,Riverbend Police Department,Municipal Police,2019-08,Vehicle Stop,Moving violation,1655
A001,Riverbend Police Department,Municipal Police,2019-08,Vehicle Stop,Non-moving violation,469
A001,Riverbend Police Department,Municipal Police,2019-08,Vehicle Stop,Vehicle Stop - Other,738
A001,Riverbend Police Department,Municipal Police,2019-08,Pedestrian Stop,Pedestrian Stop,522
A001,Riverbend Police Department,Municipal Police,2019-08,Civil Caretaking,Mental health / wellness check,848
A001,Riverbend Police Department,Municipal Police,2019-08,Civil Caretaking,Civil infraction,549
A001,Riverbend Police Department,Municipal Police,2019-08,Civil Caretaking,Eviction order enforcement,184
A001,Riverbend Police Department,Municipal Police,2019-08,Civil Caretaking,Domestic order enforcement,349
A001,Riverbend Police Department,Municipal Police,2019-08,Civil Caretaking,Civil Caretaking - Other,1894
A001,Riverbend Police Department,Municipal Police,2019-08,Warrant,Warrant,414
A001,Riverbend Police Department,Municipal Police,2019-08,Other,Other,4910
A001,Riverbend Police Department,Municipal Police,2019-09,Offense Against Person,Assault,438
A001,Riverbend Police Department,Municipal Police,2019-09,Offense Against Person,Homicide,15
A001,Riverbend Police Department,Municipal Police,2019-09,Offense Against Person,Rape,40
A001,Riverbend Police Department,Municipal Police,2019-09,Offense Against Person,Robbery,77
A001,Riverbend Police Department,Municipal Police,2019-09,Offense Against Person,Civil order violation,152
A001,Riverbend Police Department,Municipal Police,2019-09,Offense Against Person,Offense Against Person - Other,597
A001,Riverbend Police Department,Municipal Police,2019-09,Property Offense,Arson,24
A001,Riverbend Police Department,Municipal Police,2019-09,Property Offense,Burglary,257
A001,Riverbend Police Department,Municipal Police,2019-09,Property Offense,Theft,514
A001,Riverbend Police Department,Municipal Police,2019-09,Property Offense,Mischief,189
A001,Riverbend Police Department,Municipal Police,2019-09,Property Offense,Trespassing,178
A001,Riverbend Police Department,Municipal Police,2019-09,Property Offense,Vehicle theft/prowl,215
A001,Riverbend Police Department,Municipal Police,2019-09,Property Offense,Property Offense - Other,554
A001,Riverbend Police Department,Municipal Police,2019-09,Public Order Offense,Public disturbance,851
A001,Riverbend Police Department,Municipal Police,2019-09,Public Order Offense,Drug related,423
A001,Riverbend Police Department,Municipal Police,2019-09,Public Order Offense,Sex related,128
A001,Riverbend Police Department,Municipal Police,2019-09,Public Order Offense,Weapon related,235
A001,Riverbend Police Department,Municipal Police,2019-09,Public Order Offense,Transit related,146
A001,Riverbend Police Department,Municipal Police,2019-09,Public Order Offense,Public Order Offense - Other,1397
A001,Riverbend Police Department,Municipal Police,2019-09,Vehicle Stop,DUI,298
A001,Riverbend Police Department,Municipal Police,2019-09,Vehicle Stop,Accident,837
A001,Riverbend Police Department,Municipal Police,2019-09,Vehicle Stop,Moving violation,1759
A001,Riverbend Police Department,Municipal Police,2019-09,Vehicle Stop,Non-moving violation,529
A001,Riverbend Police Department,Municipal Police,2019-09,Vehicle Stop,Vehicle Stop - Other,762
A001,Riverbend Police Department,Municipal Police,2019-09,Pedestrian Stop,Pedestrian Stop,570
A001,Riverbend Police Department,Municipal Police,2019-09,Civil Caretaking,Mental health / wellness check,764
A001,Riverbend Police Department,Municipal Police,2019-09,Civil Caretaking,Civil infraction,497
A001,Riverbend Police Department,Municipal Police,2019-09,Civil Caretaking,Eviction order enforcement,167
A001,Riverbend Police Department,Municipal Police,2019-09,Civil Caretaking,Domestic order enforcement,349
A001,Riverbend Police Department,Municipal Police,2019-09,Civil Caretaking,Civil Caretaking - Other,1721
A001,Riverbend Police Department,Municipal Police,2019-09,Warrant,Warrant,381
A001,Riverbend Police Department,Municipal Police,2019-09,Other,Other,4514
A001,Riverbend Police Department,Municipal Police,2019-10,Offense Against Person,Assault,348
A001,Riverbend Police Department,Municipal Police,2019-10,Offense Against Person,Homicide,8
A001,Riverbend Police Department,Municipal Police,2019-10,Offense Against Person,Rape,32
A001,Riverbend Police Department,Municipal Police,2019-10,Offense Against Person,Robbery,54
A001,Riverbend Police Department,Municipal Police,2019-10,Offense Against Person,Civil order violation,103
A001,Riverbend Police Department,Municipal Police,2019-10,Offense Against Person,Offense Against Person - Other,425
A001,Riverbend Police Department,Municipal Police,2019-10,Property Offense,Arson,54
A001,Riverbend Police Department,Municipal Police,2019-10,Property Offense,Burglary,294
A001,Riverbend Police Department,Municipal Police,2019-10,Property Offense,Theft,545
A001,Riverbend Police Department,Municipal Police,2019-10,Property Offense,Mischief,181
A001,Riverbend Police Department,Municipal Police,2019-10,Property Offense,Trespassing,193
A001,Riverbend Police Department,Municipal Police,2019-10,Property Offense,Vehicle theft/prowl,235
A001,Riverbend Police Department,Municipal Police,2019-10,Property Offense,Property Offense - Other,656
A001,Riverbend Police Department,Municipal Police,2019-10,Public Order Offense,Public disturbance,670
A001,Riverbend Police Department,Municipal Police,2019-10,Public Order Offense,Drug related,363
A001,Riverbend Police Department,Municipal Police,2019-10,Public Order Offense,Sex related,105
A001,Riverbend Police Department,Municipal Police,2019-10,Public Order Offense,Weapon related,183
A001,Riverbend Police Department,Municipal Police,2019-10,Public Order Offense,Transit related,144
A001,Riverbend Police Department,Municipal Police,2019-10,Public Order Offense,Public Order Offense - Other,1263
A001,Riverbend Police Department,Municipal Police,2019-10,Vehicle Stop,DUI,312
A001,Riverbend Police Department,Municipal Police,2019-10,Vehicle Stop,Accident,765
A001,Riverbend Police Department,Municipal Police,2019-10,Vehicle Stop,Moving violation,1701
A001,Riverbend Police Department,Municipal Police,2019-10,Vehicle Stop,Non-moving violation,552
A001,Riverbend Police Department,Municipal Police,2019-10,Vehicle Stop,Vehicle Stop - Other,799
A001,Riverbend Police Department,Municipal Police,2019-10,Pedestrian Stop,Pedestrian Stop,524
A001,Riverbend Police Department,Municipal Police,2019-10,Civil Caretaking,Mental health / wellness check,810
A001,Riverbend Police Department,Municipal Police,2019-10,Civil Caretaking,Civil infraction,520
A001,Riverbend Police Department,Municipal Police,2019-10,Civil Caretaking,Eviction order enforcement,178
A001,Riverbend Police Department,Municipal Police,2019-10,Civil Caretaking,Domestic order enforcement,374
A001,Riverbend Police Department,Municipal Police,2019-10,Civil Caretaking,Civil Caretaking - Other,1859
A001,Riverbend Police Department,Municipal Police,2019-10,Warrant,Warrant,337
A001,Riverbend Police Department,Municipal Police,2019-10,Other,Other,4692
A001,Riverbend Police Department,Municipal Police,2019-11,Offense Against Person,Assault,353
A001,Riverbend Police Department,Municipal Police,2019-11,Offense Against Person,Homicide,9
A001,Riverbend Police Department,Municipal Police,2019-11,Offense Against Person,Rape,21
A001,Riverbend Police Department,Municipal Police,2019-11,Offense Against Person,Robbery,65
A001,Riverbend Police Department,Municipal Police,2019-11,Offense Against Person,Civil order violation,134
A001,Riverbend Police Department,Municipal Police,2019-11,Offense Against Person,Offense Against Person - Other,469
A001,Riverbend Police Department,Municipal Police,2019-11,Property Offense,Arson,39
A001,Riverbend Police Department,Municipal Police,2019-11,Property Offense,Burglary,270
A001,Riverbend Police Department,Municipal Police,2019-11,Property Offense,Theft,478
A001,Riverbend Police Department,Municipal Police,2019-11,Property Offense,Mischief,164
A001,Riverbend Police Department,Municipal Police,2019-11,Property Offense,Trespassing,167
A001,Riverbend Police Department,Municipal Police,2019-11,Property Offense,Vehicle theft/prowl,233
A001,Riverbend Police Department,Municipal Police,2019-11,Property Offense,Property Offense - Other,559
A001,Riverbend Police Department,Municipal Police,2019-11,Public Order Offense,Public disturbance,626
