agency_id,agency_name,agency_type,year_month,sworn_officers,total_cfs,n_arrests,n_uof,provisional,uof_per_100_arrests
A002,Cedar Falls Police Department,Municipal Police,2023-01,188,8313,801,17,0,2.122
A002,Cedar Falls Police Department,Municipal Police,2023-02,188,8356,735,20,0,2.721
A002,Cedar Falls Police Department,Municipal Police,2023-03,188,8391,752,23,0,3.059
A002,Cedar Falls Police Department,Municipal Police,2023-04,188,8969,707,17,0,2.405
A002,Cedar Falls Police Department,Municipal Police,2023-05,188,9601,934,31,0,3.319
A002,Cedar Falls Police Department,Municipal Police,2023-06,188,10257,981,59,0,6.014
A002,Cedar Falls Police Department,Municipal Police,2023-07,188,9930,903,42,0,4.651
A002,Cedar Falls Police Department,Municipal Police,2023-08,188,10260,968,27,0,2.789
A002,Cedar Falls Police Department,Municipal Police,2023-09,188,9935,903,40,0,4.43
A002,Cedar Falls Police Department,Municipal Police,2023-10,188,9581,920,35,0,3.804
A002,Cedar Falls Police Department,Municipal Police,2023-11,188,9045,894,16,0,1.79
A002,Cedar Falls Police Department,Municipal Police,2023-12,188,8729,773,16,0,2.07
A002,Cedar Falls Police Department,Municipal Police,2024-01,188,8332,765,19,0,2.484
A002,Cedar Falls Police Department,Municipal Police,2024-02,188,8494,959,18,0,1.877
A002,Cedar Falls Police Department,Municipal Police,2024-03,188,9187,981,26,0,2.65
A002,Cedar Falls Police Department,Municipal Police,2024-04,188,9262,820,26,0,3.171
A002,Cedar Falls Police Department,Municipal Police,2024-05,188,9103,897,26,0,2.899
A002,Cedar Falls Police Department,Municipal Police,2024-06,188,9427,887,21,0,2.368
A002,Cedar Falls Police Department,Municipal Police,2024-07,188,10059,892,25,0,2.803
A002,Cedar Falls Police Department,Municipal Police,2024-08,188,10635,1024,28,0,2.734
A002,Cedar Falls Police Department,Municipal Police,2024-09,188,9790,902,26,0,2.882
A002,Cedar Falls Police Department,Municipal Police,2024-10,188,9461,847,23,0,2.715
A002,Cedar Falls Police Department,Municipal Police,2024-11,188,9098,856,28,0,3.271
A002,Cedar Falls Police Department,Municipal Police,2024-12,188,8589,804,17,0,2.114
A002,Cedar Falls Police Department,Municipal Police,2025-01,188,8950,851,12,0,1.41
A002,Cedar Falls Police Department,Municipal Police,2025-02,188,8262,759,14,0,1.845
A002,Cedar Falls Police Department,Municipal Police,2025-03,188,9239,965,17,0,1.762
A002,Cedar Falls Police Department,Municipal Police,2025-04,188,8974,844,25,0,2.962
A002,Cedar Falls Police Department,Municipal Police,2025-05,188,9323,961,35,0,3.642
A002,Cedar Falls Police Department,Municipal Police,2025-06,188,9599,845,21,0,2.485
A002,Cedar Falls Police Department,Municipal Police,2025-07,188,10023,955,30,0,3.141
A002,Cedar Falls Police Department,Municipal Police,2025-08,188,9614,746,19,0,2.547
A002,Cedar Falls Police Department,Municipal Police,2025-09,188,10190,977,25,0,2.559
A002,Cedar Falls Police Department,Municipal Police,2025-10,188,9617,973,20,0,2.055
A002,Cedar Falls Police Department,Municipal Police,2025-11,188,9718,894,15,0,1.678
A002,Cedar Falls Police Department,Municipal Police,2025-12,188,9217,848,19,0,2.241
A002,Cedar Falls Police Department,Municipal Police,2026-01,188,9112,788,28,0,3.553
A002,Cedar Falls Police Department,Municipal Police,2026-02,188,8565,757,16,0,2.114
A002,Cedar Falls Police Department,Municipal Police,2026-03,188,8964,835,19,0,2.275
A002,Cedar Falls Police Department,Municipal Police,2026-04,188,9977,948,20,0,2.11
A002,Cedar Falls Police Department,Municipal Police,2026-05,188,7021,627,11,1,1.754
A002,Cedar Falls Police Department,Municipal Police,2026-06,188,4567,425,8,1,1.882
A003,Harbor Point Police Department,Municipal Police,2019-01,95,3992,355,12,0,3.38
A003,Harbor Point Police Department,Municipal Police,2019-02,95,3766,328,7,0,2.134
A003,Harbor Point Police Department,Municipal Police,2019-03,95,4168,380,10,0,2.632
A003,Harbor Point Police Department,Municipal Police,2019-04,95,4282,389,18,0,4.627
A003,Harbor Point Police Department,Municipal Police,2019-05,95,4363,429,15,0,3.497
A003,Harbor Point Police Department,Municipal Police,2019-06,95,4569,420,18,0,4.286
A003,Harbor Point Police Department,Municipal Police,2019-07,95,4520,353,11,0,3.116
A003,Harbor Point Police Department,Municipal Police,2019-08,95,4678,418,22,0,5.263
A003,Harbor Point Police Department,Municipal Police,2019-09,95,4461,382,18,0,4.712
A003,Harbor Point Police Department,Municipal Police,2019-10,95,4535,443,15,0,3.386
A003,Harbor Point Police Department,Municipal Police,2019-11,95,4390,429,12,0,2.797
A003,Harbor Point Police Department,Municipal Police,2019-12,95,4209,440,12,0,2.727
A003,Harbor Point Police Department,Municipal Police,2020-01,95,3985,384,11,0,2.865
A003,Harbor Point Police Department,Municipal Police,2020-02,95,4182,364,9,0,2.473
A003,Harbor Point Police Department,Municipal Police,2020-03,95,4083,362,15,0,4.144
A003,Harbor Point Police Department,Municipal Police,2020-04,95,4444,384,17,0,4.427
A003,Harbor Point Police Department,Municipal Police,2020-05,95,4500,383,16,0,4.178
A003,Harbor Point Police Department,Municipal Police,2020-06,95,4776,411,10,0,2.433
A003,Harbor Point Police Department,Municipal Police,2020-07,95,4662,399,9,0,2.256
A003,Harbor Point Police Department,Municipal Police,2020-08,95,4803,489,22,0,4.499
A003,Harbor Point Police Department,Municipal Police,2020-09,95,4949,401,10,0,2.494
A003,Harbor Point Police Department,Municipal Police,2020-10,95,4540,410,11,0,2.683
A003,Harbor Point Police Department,Municipal Police,2020-11,95,4294,463,10,0,2.16
A003,Harbor Point Police Department,Municipal Police,2020-12,95,4090,372,9,0,2.419
A003,Harbor Point Police Department,Municipal Police,2021-01,95,4257,412,9,0,2.184
A003,Harbor Point Police Department,Municipal Police,2021-02,95,4086,322,12,0,3.727
A003,Harbor Point Police Department,Municipal Police,2021-03,95,4297,436,15,0,3.44
A003,Harbor Point Police Department,Municipal Police,2021-04,95,4530,418,7,0,1.675
A003,Harbor Point Police Department,Municipal Police,2021-05,95,4690,451,14,0,3.104
A003,Harbor Point Police Department,Municipal Police,2021-06,95,4935,521,24,0,4.607
A003,Harbor Point Police Department,Municipal Police,2021-07,95,4851,412,13,0,3.155
A003,Harbor Point Police Department,Municipal Police,2021-08,95,4705,414,10,0,2.415
A003,Harbor Point Police Department,Municipal Police,2021-09,95,4437,377,13,0,3.448
A003,Harbor Point Police Department,Municipal Police,2021-10,95,4514,436,12,0,2.752
A003,Harbor Point Police Department,Municipal Police,2021-11,95,4503,412,16,0,3.883
A003,Harbor Point Police Department,Municipal Police,2021-12,95,4302,443,18,0,4.063
A003,Harbor Point Police Department,Municipal Police,2022-01,95,4195,364,8,0,2.198
A003,Harbor Point Police Department,Municipal Police,2022-02,95,4261,434,7,0,1.613
A003,Harbor Point Police Department,Municipal Police,2022-03,95,4316,332,9,0,2.711
A003,Harbor Point Police Department,Municipal Police,2022-04,95,4515,426,10,0,2.347
A003,Harbor Point Police Department,Municipal Police,2022-05,95,4510,391,15,0,3.836
A003,Harbor Point Police Department,Municipal Police,2022-06,95,4548,429,14,0,3.263
A003,Harbor Point Police Department,Municipal Police,2022-07,95,4943,462,22,0,4.762
A003,Harbor Point Police Department,Municipal Police,2022-08,95,4643,454,14,0,3.084
A003,Harbor Point Police Department,Municipal Police,2022-09,95,4824,422,12,0,2.844
A003,Harbor Point Police Department,Municipal Police,2022-10,95,4887,385,8,0,2.078
A003,Harbor Point Police Department,Municipal Police,2022-11,95,4474,450,14,0,3.111
A003,Harbor Point Police Department,Municipal Police,2022-12,95,4212,394,14,0,3.553
A003,Harbor Point Police Department,Municipal Police,2023-01,95,4062,364,14,0,3.846
A003,Harbor Point Police Department,Municipal Police,2023-02,95,4400,451,12,0,2.661
A003,Harbor Point Police Department,Municipal Police,2023-03,95,4265,335,11,0,3.284
A003,Harbor Point Police Department,Municipal Police,2023-04,95,4655,430,4,0,0.93
A003,Harbor Point Police Department,Municipal Police,2023-05,95,4966,434,16,0,3.687
A003,Harbor Point Police Department,Municipal Police,2023-06,95,5161,465,20,0,4.301
A003,Harbor Point Police Department,Municipal Police,2023-07,95,4997,427,15,0,3.513
A003,Harbor Point Police Department,Municipal Police,2023-08,95,4907,398,13,0,3.266
A003,Harbor Point Police Department,Municipal Police,2023-09,95,4890,399,7,0,1.754
A003,Harbor Point Police Department,Municipal Police,2023-10,95,4446,446,7,0,1.57
A003,Harbor Point Police Department,Municipal Police,2023-11,95,4598,429,11,0,2.564
A003,Harbor Point Police Department,Municipal Police,2023-12,95,4438,326,7,0,2.147
A003,Harbor Point Police Department,Municipal Police,2024-01,95,4222,312,5,0,1.603
A003,Harbor Point Police Department,Municipal Police,2024-02,95,4597,430,8,0,1.86
A003,Harbor Point Police Department,Municipal Police,2024-03,95,4488,410,12,0,2.927
A003,Harbor Point Police Department,Municipal Police,2024-04,95,4674,454,11,0,2.423
A003,Harbor Point Police Department,Municipal Police,2024-05,95,4945,441,13,0,2.948
A003,Harbor Point Police Department,Municipal Police,2024-06,95,5056,449,16,0,3.563
A003,Harbor Point Police Department,Municipal Police,2024-07,95,5059,474,16,0,3.376
A003,Harbor Point Police Department,Municipal Police,2024-08,95,5073,494,18,0,3.644
A003,Harbor Point Police Department,Municipal Police,2024-09,95,5089,463,12,0,2.592
A003,Harbor Point Police Department,Municipal Police,2024-10,95,4883,465,11,0,2.366
A003,Harbor Point Police Department,Municipal Police,2024-11,95,4558,492,7,0,1.423
A003,Harbor Point Police Department,Municipal Police,2024-12,95,4627,423,7,0,1.655
A003,Harbor Point Police Department,Municipal Police,2025-01,95,4247,407,13,0,3.194
A003,Harbor Point Police Department,Municipal Police,2025-02,95,4333,395,13,0,3.291
A003,Harbor Point Police Department,Municipal Police,2025-03,95,4525,365,6,0,1.644
A003,Harbor Point Police Department,Municipal Police,2025-04,95,4722,453,11,0,2.428
A003,Harbor Point Police Department,Municipal Police,2025-05,95,4795,397,13,0,3.275
A003,Harbor Point Police Department,Municipal Police,2025-06,95,5116,517,18,0,3.482
A003,Harbor Point Police Department,Municipal Police,2025-07,95,5416,499,17,0,3.407
A003,Harbor Point Police Department,Municipal Police,2025-08,95,5416,541,11,0,2.033
A003,Harbor Point Police Department,Municipal Police,2025-09,95,4822,452,15,0,3.319
A003,Harbor Point Police Department,Municipal Police,2025-10,95,5085,474,13,0,2.743
A003,Harbor Point Police Department,Municipal Police,2025-11,95,4755,415,5,0,1.205
A003,Harbor Point Police Department,Municipal Police,2025-12,95,4402,378,7,0,1.852
A003,Harbor Point Police Department,Municipal Police,2026-01,95,4452,440,7,0,1.591
A003,Harbor Point Police Department,Municipal Police,2026-02,95,4373,381,7,0,1.837
A003,Harbor Point Police Department,Municipal Police,2026-03,95,4576,388,10,0,2.577
A003,Harbor Point Police Department,Municipal Police,2026-04,95,4621,437,10,0,2.288
A003,Harbor Point Police Department,Municipal Police,2026-05,95,3640,300,10,1,3.333
A003,Harbor Point Police Department,Municipal Police,2026-06,95,2273,241,4,1,1.66
A004,Millgate Police Department,Municipal Police,2019-01,54,2292,204,10,0,4.902
A004,Millgate Police Department,Municipal Police,2019-02,54,2413,204,5,0,2.451
A004,Millgate Police Department,Municipal Police,2019-03,54,2305,198,3,0,1.515
A004,Millgate Police Department,Municipal Police,2019-04,54,2420,218,10,0,4.587
A004,Millgate Police Department,Municipal Police,2019-05,54,2462,253,8,0,3.162
A004,Millgate Police Department,Municipal Police,2019-06,54,2677,240,5,0,2.083
A004,Millgate Police Department,Municipal Police,2019-07,54,2650,238,14,0,5.882
A004,Millgate Police Department,Municipal Police,2019-08,54,2505,234,18,0,7.692
A004,Millgate Police Department,Municipal Police,2019-09,54,2645,246,15,0,6.098
A004,Millgate Police Department,Municipal Police,2019-10,54,2748,278,6,0,2.158
A004,Millgate Police Department,Municipal Police,2019-11,54,2364,208,7,0,3.365
A004,Millgate Police Department,Municipal Police,2019-12,54,2386,235,8,0,3.404
A004,Millgate Police Department,Municipal Police,2020-01,54,2303,241,5,0,2.075
A004,Millgate Police Department,Municipal Police,2020-02,54,2425,215,11,0,5.116
A004,Millgate Police Department,Municipal Police,2020-03,54,2269,197,7,0,3.553
A004,Millgate Police Department,Municipal Police,2020-04,54,2388,233,9,0,3.863
A004,Millgate Police Department,Municipal Police,2020-05,54,2480,251,10,0,3.984
A004,Millgate Police Department,Municipal Police,2020-06,54,2669,237,13,0,5.485
A004,Millgate Police Department,Municipal Police,2020-07,54,2759,257,9,0,3.502
A004,Millgate Police Department,Municipal Police,2020-08,54,2726,255,7,0,2.745
A004,Millgate Police Department,Municipal Police,2020-09,54,2656,234,10,0,4.274
A004,Millgate Police Department,Municipal Police,2020-10,54,2571,224,8,0,3.571
A004,Millgate Police Department,Municipal Police,2020-11,54,2394,205,2,0,0.976
A004,Millgate Police Department,Municipal Police,2020-12,54,2449,198,4,0,2.02
A004,Millgate Police Department,Municipal Police,2021-01,54,2433,197,5,0,2.538
A004,Millgate Police Department,Municipal Police,2021-02,54,2539,198,6,0,3.03
A004,Millgate Police Department,Municipal Police,2021-03,54,2406,212,8,0,3.774
A004,Millgate Police Department,Municipal Police,2021-04,54,2568,223,7,0,3.139
A004,Millgate Police Department,Municipal Police,2021-05,54,2597,231,9,0,3.896
A004,Millgate Police Department,Municipal Police,2021-06,54,2794,230,7,0,3.043
A004,Millgate Police Department,Municipal Police,2021-07,54,2820,244,16,0,6.557
A004,Millgate Police Department,Municipal Police,2021-08,54,2730,235,8,0,3.404
A004,Millgate Police Department,Municipal Police,2021-09,54,2648,261,12,0,4.598
A004,Millgate Police Department,Municipal Police,2021-10,54,2647,277,9,0,3.249
A004,Millgate Police Department,Municipal Police,2021-11,54,2671,256,14,0,5.469
A004,Millgate Police Department,Municipal Police,2021-12,54,2626,254,8,0,3.15
A004,Millgate Police Department,Municipal Police,2022-01,54,2503,269,10,0,3.717
A004,Millgate Police Department,Municipal Police,2022-02,54,2390,236,4,0,1.695
A004,Millgate Police Department,Municipal Police,2022-03,54,2580,234,10,0,4.274
A004,Millgate Police Department,Municipal Police,2022-04,54,2533,248,7,0,2.823
A004,Millgate Police Department,Municipal Police,2022-05,54,2635,255,11,0,4.314
A004,Millgate Police Department,Municipal Police,2022-06,54,2806,251,9,0,3.586
A004,Millgate Police Department,Municipal Police,2022-07,54,2720,238,7,0,2.941
A004,Millgate Police Department,Municipal Police,2022-08,54,2752,258,11,0,4.264
A004,Millgate Police Department,Municipal Police,2022-09,54,2803,218,8,0,3.67
A004,Millgate Police Department,Municipal Police,2022-10,54,2613,272,8,0,2.941
A004,Millgate Police Department,Municipal Police,2022-11,54,2696,268,6,0,2.239
A004,Millgate Police Department,Municipal Police,2022-12,54,2471,210,7,0,3.333
A004,Millgate Police Department,Municipal Police,2023-01,54,2512,220,7,0,3.182
A004,Millgate Police Department,Municipal Police,2023-02,54,2384,209,6,0,2.871
A004,Millgate Police Department,Municipal Police,2023-03,54,2407,188,8,0,4.255
A004,Millgate Police Department,Municipal Police,2023-04,54,2426,245,5,0,2.041
A004,Millgate Police Department,Municipal Police,2023-05,54,2642,236,11,0,4.661
A004,Millgate Police Department,Municipal Police,2023-06,54,2708,223,4,0,1.794
A004,Millgate Police Department,Municipal Police,2023-07,54,2831,262,8,0,3.053
A004,Millgate Police Department,Municipal Police,2023-08,54,2713,253,8,0,3.162
A004,Millgate Police Department,Municipal Police,2023-09,54,2677,254,8,0,3.15
A004,Millgate Police Department,Municipal Police,2023-10,54,2767,237,7,0,2.954
A004,Millgate Police Department,Municipal Police,2023-11,54,2470,222,7,0,3.153
A004,Millgate Police Department,Municipal Police,2023-12,54,2468,243,3,0,1.235
A004,Millgate Police Department,Municipal Police,2024-01,54,2453,201,3,0,1.493
A004,Millgate Police Department,Municipal Police,2024-02,54,2439,233,5,0,2.146
A004,Millgate Police Department,Municipal Police,2024-03,54,2424,228,6,0,2.632
A004,Millgate Police Department,Municipal Police,2024-04,54,2749,209,9,0,4.306
A004,Millgate Police Department,Municipal Police,2024-05,54,2712,252,5,0,1.984
A004,Millgate Police Department,Municipal Police,2024-06,54,2725,261,8,0,3.065
A004,Millgate Police Department,Municipal Police,2024-07,54,2775,261,7,0,2.682
A004,Millgate Police Department,Municipal Police,2024-08,54,2802,252,7,0,2.778
A004,Millgate Police Department,Municipal Police,2024-09,54,2807,241,2,0,0.83
